"GEOID","Total","Hispanic","pct_Hispanic"
"040050017003",938,693,0.738805970149254
"040050017004",769,622,0.808842652795839
"040050020001",1243,1207,0.971037811745776
"040050020002",627,596,0.950558213716108
"040050021001",1812,1553,0.857064017660044
"040050021002",602,437,0.725913621262459
"040050021003",1007,853,0.847070506454816
"040050021004",913,843,0.923329682365827
"040050021005",1042,951,0.912667946257198
"040050021006",864,839,0.971064814814815
"040050021007",1292,1275,0.986842105263158
"040050022001",1005,998,0.993034825870647
"040050022002",1867,1613,0.863952865559722
"040050022003",915,898,0.981420765027322
"040050022004",975,714,0.732307692307692
"040050022005",1435,1340,0.933797909407665
"040050023001",580,523,0.901724137931034
"040050023002",1173,1045,0.890878090366581
"040050023003",883,761,0.861834654586636
"040050023004",1293,1249,0.965970610982212
"040050023005",1787,1523,0.852266368214885
"040059422011",1750,1710,0.977142857142857
"040059422012",871,870,0.998851894374282
"040059422013",1420,1417,0.997887323943662
"040059422021",769,767,0.99739921976593
"040059422022",2122,2083,0.981621112158341
"040059422023",767,767,1
"040059449001",2492,2414,0.968699839486356
"040059449002",1200,1200,1
"040059449003",1169,1159,0.991445680068435
"040059450001",1557,1523,0.978163134232498
"040059450002",1736,1712,0.986175115207373
"040059450003",1109,1109,1
"040059451001",1321,1288,0.975018925056775
"040059451002",892,867,0.971973094170404
"040059451003",662,655,0.989425981873112
"040059451004",792,789,0.996212121212121
"040059452001",1103,1093,0.990933816863101
"040059452002",1606,1598,0.995018679950187
"040059452003",1948,1916,0.983572895277207
"040070001001",546,493,0.902930402930403
"040070001002",664,664,1
"040070001003",230,221,0.960869565217391
"040070001004",375,353,0.941333333333333
"040070002001",335,293,0.874626865671642
"040070002002",615,601,0.977235772357724
"040070002003",1186,1095,0.92327150084317
"040070003011",3714,3570,0.961227786752827
"040070003012",2645,2125,0.803402646502836
"040070003021",381,357,0.937007874015748
"040070003022",2015,1912,0.948883374689826
"040070003023",431,431,1
"040070004001",502,462,0.920318725099602
"040070004002",722,571,0.790858725761773
"040070004003",2516,2327,0.924880763116057
"040070005001",1500,1253,0.835333333333333
"040070005002",606,558,0.920792079207921
"040070005003",3354,3283,0.978831246273107
"040070006001",966,819,0.847826086956522
"040070006002",478,473,0.989539748953975
"040070007001",1708,1699,0.994730679156909
"040070008001",343,269,0.784256559766764
"040070008002",1258,644,0.511923688394277
"040070009001",1346,632,0.469539375928678
"040070009002",1605,942,0.586915887850467
"040070010001",751,395,0.525965379494008
"040070010002",1905,1250,0.656167979002625
"040070010003",847,424,0.500590318772137
"040070010004",1016,765,0.752952755905512
"040070010005",765,570,0.745098039215686
"040070011001",603,314,0.520729684908789
"040070011002",788,528,0.67005076142132
"040070011003",900,586,0.651111111111111
"040070011004",634,381,0.600946372239748
"040070011005",783,353,0.450830140485313
"040070012001",1146,826,0.720767888307155
"040070012002",1799,1253,0.696498054474708
"040070012003",2078,1557,0.749278152069297
"040070013001",634,268,0.422712933753943
"040070013002",490,106,0.216326530612245
"040079402001",2049,1971,0.961932650073206
"040079404001",928,901,0.970905172413793
"040079404002",2934,2844,0.969325153374233
"040079404003",1487,1393,0.936785474108944
"040079404004",601,583,0.970049916805324
"040099405001",1990,1814,0.911557788944724
"040099405002",1146,1010,0.881326352530541
"040099405003",1463,1406,0.961038961038961
"040099611001",1377,1192,0.865649963689179
"040099611002",1338,853,0.637518684603886
"040099611003",2027,1460,0.720276270350271
"040099612011",619,525,0.848142164781906
"040099612012",1989,1635,0.822021116138763
"040099612013",830,665,0.801204819277108
"040099612021",1455,957,0.657731958762887
"040099612022",866,534,0.61662817551963
"040099612023",1214,749,0.616968698517298
"040099613001",666,467,0.701201201201201
"040099613002",667,517,0.775112443778111
"040099613003",1148,483,0.420731707317073
"040099613004",1108,738,0.666064981949459
"040099614001",1862,1077,0.578410311493018
"040099614002",1071,607,0.566760037348273
"040099614003",891,649,0.728395061728395
"040099614004",1050,307,0.292380952380952
"040099615001",2341,1464,0.625373771892354
"040099615002",1994,1332,0.668004012036108
"040099616001",863,732,0.848203939745075
"040099616002",651,326,0.500768049155146
"040099616003",1199,555,0.462885738115096
"040099617001",3038,1393,0.45852534562212
"040099617002",528,319,0.604166666666667
"040099617003",950,656,0.690526315789474
"040099617004",1188,1061,0.893097643097643
"040119601001",1117,439,0.393017009847807
"040119601002",1477,571,0.386594448205823
"040119602001",1464,587,0.400956284153005
"040119602002",1235,769,0.622672064777328
"040119602003",1146,546,0.476439790575916
"040119603001",1482,1062,0.716599190283401
"040119603002",734,590,0.803814713896458
"040119603003",569,370,0.650263620386643
"040120201001",506,159,0.314229249011858
"040120201002",533,369,0.692307692307692
"040120201003",1283,957,0.745908028059236
"040120202011",641,607,0.946957878315133
"040120202012",924,822,0.88961038961039
"040120202013",267,243,0.910112359550562
"040120202021",293,271,0.924914675767918
"040120202022",294,282,0.959183673469388
"040120205011",1150,739,0.642608695652174
