"contestKey","contestLongName","contestKey__1","contestLongName__1","districtKey","districtName","numbertoElect","termYears","isQuestion","countiesParticipating","countiesReported","precinctsParticipating","precinctsReported","precinctsReportedPercent","jurisdictionKey","jurisdictionName","isWriteIn","choiceKey","choiceName","partyKey","partyDisplayorder","partyShortName","totalVotes","jurisdictionVotes","choicePollingPlaceVotes","choiceEarlyVotes","choiceProvisionalVotes","choiceMaricopaVotes"
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,249,249,100,11,"Pima",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,102,102,100,12,"Pinal",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,13,"Santa Cruz",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,45,45,100,14,"Yavapai",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,15,"Yuma",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,1489,1489,100,0,"State",FALSE,6391,"McSally, Martha",9,"NULL","REP",1135200,1135200,104660,345719,12316,672505
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,1,"Apache",FALSE,6391,"McSally, Martha",9,"NULL","REP",7810,7810,3184,4596,30,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,49,49,100,2,"Cochise",FALSE,6391,"McSally, Martha",9,"NULL","REP",26929,26929,7042,19112,775,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,71,71,100,3,"Coconino",FALSE,6391,"McSally, Martha",9,"NULL","REP",19249,19249,5266,13577,406,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,39,39,100,4,"Gila",FALSE,6391,"McSally, Martha",9,"NULL","REP",12180,12180,1985,9849,346,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,22,22,100,5,"Graham",FALSE,6391,"McSally, Martha",9,"NULL","REP",6870,6870,2090,4706,74,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,8,8,100,6,"Greenlee",FALSE,6391,"McSally, Martha",9,"NULL","REP",1416,1416,378,984,54,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,11,11,100,7,"La Paz",FALSE,6391,"McSally, Martha",9,"NULL","REP",3265,3265,988,1917,360,0
