"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113","r1107_d","r1108_d","r1109_d","r1110_d","r1111_d","r1112_d","r1113_d"
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6435,"Gosar, Paul","REP",113728,149211,162972,172218,178112,181024,184182,185201,35483,13761,9246,5894,2912,3158,1019
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6435,"Gosar, Paul","REP",6820,8237,9452,9568,9793,9793,9793,9793,1417,1215,116,225,0,0,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6435,"Gosar, Paul","REP",8321,10949,11958,12361,12975,13117,13399,13507,2628,1009,403,614,142,282,108
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6435,"Gosar, Paul","REP",30097,45637,46398,49277,51714,51714,51860,52347,15540,761,2879,2437,0,146,487
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6435,"Gosar, Paul","REP",14328,21804,23883,27212,28544,30140,32870,32870,7476,2079,3329,1332,1596,2730,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6435,"Gosar, Paul","REP",44556,47183,55286,57185,58471,59645,59645,60069,2627,8103,1899,1286,1174,0,424
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6435,"Gosar, Paul","REP",9606,12255,12849,13469,13469,13469,13469,13469,2649,594,620,0,0,0,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6876,"Knauer, Haryaksha Gregor","GRN",1929,2630,2992,3245,3371,3450,3539,3563,701,362,253,126,79,89,24
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6876,"Knauer, Haryaksha Gregor","GRN",106,134,157,159,168,168,168,168,28,23,2,9,0,0,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6876,"Knauer, Haryaksha Gregor","GRN",115,159,192,195,207,208,209,213,44,33,3,12,1,1,4
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6876,"Knauer, Haryaksha Gregor","GRN",507,812,827,915,964,964,968,979,305,15,88,49,0,4,11
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6876,"Knauer, Haryaksha Gregor","GRN",273,423,483,571,603,649,733,733,150,60,88,32,46,84,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6876,"Knauer, Haryaksha Gregor","GRN",798,853,1065,1124,1148,1180,1180,1189,55,212,59,24,32,0,9
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6876,"Knauer, Haryaksha Gregor","GRN",130,180,199,212,212,212,212,212,50,19,13,0,0,0,0
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","State",6971,"Biggs, Andy","REP",93483,125782,141432,150732,160815,166186,168488,170741,32299,15650,9300,10083,5371,2302,2253
