"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113"
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6876,"Knauer, Haryaksha Gregor","GRN",507,812,827,915,964,964,968,979
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6876,"Knauer, Haryaksha Gregor","GRN",273,423,483,571,603,649,733,733
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6876,"Knauer, Haryaksha Gregor","GRN",798,853,1065,1124,1148,1180,1180,1189
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6876,"Knauer, Haryaksha Gregor","GRN",130,180,199,212,212,212,212,212
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","State",6971,"Biggs, Andy","REP",93483,125782,141432,150732,160815,166186,168488,170741
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","Maricopa",6971,"Biggs, Andy","REP",93483,125782,141432,150732,160815,166186,168488,170741
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","State",6824,"Greene, Joan","DEM",62511,83894,96758,103943,110019,113297,115078,116584
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","Maricopa",6824,"Greene, Joan","DEM",62511,83894,96758,103943,110019,113297,115078,116584
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","State",7049,"Malik, Anita","DEM",72235,95105,108849,116452,123033,125933,127510,129141
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","Maricopa",7049,"Malik, Anita","DEM",72235,95105,108849,116452,123033,125933,127510,129141
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","State",6640,"Schweikert, David","REP",93322,122974,136813,145981,153202,156246,157996,159955
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","Maricopa",6640,"Schweikert, David","REP",93322,122974,136813,145981,153202,156246,157996,159955
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","State",6407,"Gallego, Ruben","DEM",46188,67796,78804,90468,95009,98021,99713,100995
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","Maricopa",6407,"Gallego, Ruben","DEM",46188,67796,78804,90468,95009,98021,99713,100995
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","State",6698,"Swing, Gary","GRN",8958,12647,14193,15539,16097,16464,16626,16855
1690,"U.S. Representative in Congress - District No. 7","Congressional District 7","Maricopa",6698,"Swing, Gary","GRN",8958,12647,14193,15539,16097,16464,16626,16855
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","State",6854,"Lesko, Debbie","REP",96142,123681,135180,141492,147545,152063,154086,156175
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","Maricopa",6854,"Lesko, Debbie","REP",96142,123681,135180,141492,147545,152063,154086,156175
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","State",6702,"Tipirneni, Hiral","DEM",74756,94583,106361,112037,117326,121545,123199,124801
1691,"U.S. Representative in Congress - District No. 8","Congressional District 8","Maricopa",6702,"Tipirneni, Hiral","DEM",74756,94583,106361,112037,117326,121545,123199,124801
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","State",6949,"Ferrara, Stephen L","REP",49529,68604,77483,82499,87680,90019,91432,92668
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","Maricopa",6949,"Ferrara, Stephen L","REP",49529,68604,77483,82499,87680,90019,91432,92668
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","State",6990,"Stanton, Greg","DEM",73052,100618,118144,127566,136301,139907,142308,144112
1692,"U.S. Representative in Congress - District No. 9","Congressional District 9","Maricopa",6990,"Stanton, Greg","DEM",73052,100618,118144,127566,136301,139907,142308,144112
1619,"Governor","Statewide","State",6420,"Ducey, Doug","REP",744396,982171,1070162,1137089,1192547,1218765,1241028,1252528
1619,"Governor","Statewide","Apache",6420,"Ducey, Doug","REP",3743,7414,7461,9127,9127,9165,9165,9165
1619,"Governor","Statewide","Cochise",6420,"Ducey, Doug","REP",19017,26477,26477,28805,28805,28805,28805,29637
1619,"Governor","Statewide","Coconino",6420,"Ducey, Doug","REP",15281,18962,18962,19253,19253,20988,22009,22274
1619,"Governor","Statewide","Gila",6420,"Ducey, Doug","REP",9898,12205,13923,14059,14443,14443,14443,14443
1619,"Governor","Statewide","Graham",6420,"Ducey, Doug","REP",6298,7042,7776,7776,7776,7776,7776,7776
1619,"Governor","Statewide","Greenlee",6420,"Ducey, Doug","REP",1437,1637,1637,1637,1637,1637,1637,1637
1619,"Governor","Statewide","Maricopa",6420,"Ducey, Doug","REP",423455,559128,624597,662891,698629,717437,726783,736154
1619,"Governor","Statewide","Mohave",6420,"Ducey, Doug","REP",32969,49401,50208,53296,55869,55869,56024,56534
1619,"Governor","Statewide","Navajo",6420,"Ducey, Doug","REP",12282,16821,19696,19696,21727,21877,21877,21877
1619,"Governor","Statewide","Pima",6420,"Ducey, Doug","REP",114684,148900,148900,158543,168578,168578,175460,175460
1619,"Governor","Statewide","Pinal",6420,"Ducey, Doug","REP",31232,47548,52553,59782,62910,66935,71794,71794
1619,"Governor","Statewide","Santa Cruz",6420,"Ducey, Doug","REP",2919,4081,4081,4791,4791,4791,4791,4791
1619,"Governor","Statewide","Yavapai",6420,"Ducey, Doug","REP",54926,57998,68093,70386,71955,73417,73417,73939
1619,"Governor","Statewide","Yuma",6420,"Ducey, Doug","REP",16255,21126,22367,23616,23616,23616,23616,23616
1619,"Governor","Statewide","State",6987,"Garcia, David","DEM",507581,684195,756369,822290,869894,892435,914703,922917
1619,"Governor","Statewide","Apache",6987,"Garcia, David","DEM",3400,12045,12253,14805,14805,14942,14942,14942
1619,"Governor","Statewide","Cochise",6987,"Garcia, David","DEM",9992,12475,12475,14000,14000,14000,14000,14573
1619,"Governor","Statewide","Coconino",6987,"Garcia, David","DEM",18874,24853,24853,25459,25459,28268,29506,29928
1619,"Governor","Statewide","Gila",6987,"Garcia, David","DEM",3578,4759,5351,5412,5621,5621,5621,5621
1619,"Governor","Statewide","Graham",6987,"Garcia, David","DEM",1764,2385,2569,2569,2569,2569,2569,2569
1619,"Governor","Statewide","Greenlee",6987,"Garcia, David","DEM",765,832,832,832,832,832,832,832
1619,"Governor","Statewide","Maricopa",6987,"Garcia, David","DEM",284565,389717,449590,487307,517379,533251,542034,548915
1619,"Governor","Statewide","Mohave",6987,"Garcia, David","DEM",8006,11596,11809,12667,13370,13370,13419,13542
1619,"Governor","Statewide","Navajo",6987,"Garcia, David","DEM",5624,10065,12597,12597,13461,13645,13645,13645
1619,"Governor","Statewide","Pima",6987,"Garcia, David","DEM",117770,145492,145492,159160,172463,172463,181738,181738
1619,"Governor","Statewide","Pinal",6987,"Garcia, David","DEM",13886,22051,24744,29017,30853,33471,36394,36394
1619,"Governor","Statewide","Santa Cruz",6987,"Garcia, David","DEM",4826,6852,6852,8404,8404,8404,8404,8404
1619,"Governor","Statewide","Yavapai",6987,"Garcia, David","DEM",23665,24760,29191,30305,30922,31843,31843,32058
1619,"Governor","Statewide","Yuma",6987,"Garcia, David","DEM",10866,15298,16746,18741,18741,18741,18741,18741
1619,"Governor","Statewide","State",6829,"Torres, Angel","GRN",24720,34346,38113,41304,43884,45129,46363,46875
1619,"Governor","Statewide","Apache",6829,"Torres, Angel","GRN",225,753,757,902,902,912,912,912
1619,"Governor","Statewide","Cochise",6829,"Torres, Angel","GRN",745,989,989,1126,1126,1126,1126,1201
1619,"Governor","Statewide","Coconino",6829,"Torres, Angel","GRN",771,1114,1114,1134,1134,1291,1361,1383
1619,"Governor","Statewide","Gila",6829,"Torres, Angel","GRN",285,375,434,444,467,467,467,467
1619,"Governor","Statewide","Graham",6829,"Torres, Angel","GRN",198,257,276,276,276,276,276,276
1619,"Governor","Statewide","Greenlee",6829,"Torres, Angel","GRN",73,80,80,80,80,80,80,80
1619,"Governor","Statewide","Maricopa",6829,"Torres, Angel","GRN",13507,18784,21716,23355,24883,25669,26088,26473
1619,"Governor","Statewide","Mohave",6829,"Torres, Angel","GRN",702,1070,1089,1212,1300,1300,1308,1324
1619,"Governor","Statewide","Navajo",6829,"Torres, Angel","GRN",475,774,946,946,1040,1055,1055,1055
1619,"Governor","Statewide","Pima",6829,"Torres, Angel","GRN",4798,6182,6182,6766,7430,7430,7921,7921
1619,"Governor","Statewide","Pinal",6829,"Torres, Angel","GRN",912,1480,1647,1970,2104,2315,2561,2561
1619,"Governor","Statewide","Santa Cruz",6829,"Torres, Angel","GRN",180,224,224,261,261,261,261,261
1619,"Governor","Statewide","Yavapai",6829,"Torres, Angel","GRN",1392,1485,1806,1889,1938,2004,2004,2018
1619,"Governor","Statewide","Yuma",6829,"Torres, Angel","GRN",457,666,740,830,830,830,830,830
1652,"State Senator - District No.  1","Legislative District 1","State",7063,"Craycraft, Jo","DEM",23159,25841,29286,30969,31573,32298,32324,32644
1652,"State Senator - District No.  1","Legislative District 1","Maricopa",7063,"Craycraft, Jo","DEM",5683,7278,8352,9227,9384,9432,9458,9638
1652,"State Senator - District No.  1","Legislative District 1","Yavapai",7063,"Craycraft, Jo","DEM",17476,18563,20934,21742,22189,22866,22866,23006
1652,"State Senator - District No.  1","Legislative District 1","State",6529,"Fann, Karen","REP",52802,59491,67629,71401,72976,74160,74206,74962
1652,"State Senator - District No.  1","Legislative District 1","Maricopa",6529,"Fann, Karen","REP",11569,15585,17290,19301,19650,19749,19795,20172
1652,"State Senator - District No.  1","Legislative District 1","Yavapai",6529,"Fann, Karen","REP",41233,43906,50339,52100,53326,54411,54411,54790
1653,"State Senator - District No.  2","Legislative District 2","State",6567,"Dalessandro, Andrea","DEM",22518,28320,28320,31746,33550,33550,34815,34815
1653,"State Senator - District No.  2","Legislative District 2","Pima",6567,"Dalessandro, Andrea","DEM",17008,20585,20585,22336,24140,24140,25405,25405
1653,"State Senator - District No.  2","Legislative District 2","Santa Cruz",6567,"Dalessandro, Andrea","DEM",5510,7735,7735,9410,9410,9410,9410,9410
1653,"State Senator - District No.  2","Legislative District 2","State",6804,"Kais, Shelley","REP",16202,20637,20637,22252,23201,23201,23902,23902
1653,"State Senator - District No.  2","Legislative District 2","Pima",6804,"Kais, Shelley","REP",13885,17352,17352,18381,19330,19330,20031,20031
1653,"State Senator - District No.  2","Legislative District 2","Santa Cruz",6804,"Kais, Shelley","REP",2317,3285,3285,3871,3871,3871,3871,3871
1654,"State Senator - District No.  3","Legislative District 3","State",6243,"Gonzales, Sally Ann","DEM",25070,31550,31550,35179,38664,38664,41477,41477
1654,"State Senator - District No.  3","Legislative District 3","Pima",6243,"Gonzales, Sally Ann","DEM",25070,31550,31550,35179,38664,38664,41477,41477
1655,"State Senator - District No.  4","Legislative District 4","State",6655,"Otondo, Lisa","DEM",16581,24177,26446,29006,30330,30531,30968,31103
1655,"State Senator - District No.  4","Legislative District 4","Maricopa",6655,"Otondo, Lisa","DEM",5341,7560,8593,8978,9811,10012,10061,10196
1655,"State Senator - District No.  4","Legislative District 4","Pima",6655,"Otondo, Lisa","DEM",2939,4499,4499,4918,5405,5405,5780,5780
1655,"State Senator - District No.  4","Legislative District 4","Pinal",6655,"Otondo, Lisa","DEM",16,73,75,80,84,84,97,97
1655,"State Senator - District No.  4","Legislative District 4","Yuma",6655,"Otondo, Lisa","DEM",8285,12045,13279,15030,15030,15030,15030,15030
1656,"State Senator - District No.  5","Legislative District 5","State",6630,"Borrelli, Sonny","REP",30348,49184,49946,52862,55291,55291,55442,55930
1656,"State Senator - District No.  5","Legislative District 5","Mohave",6630,"Borrelli, Sonny","REP",30348,46012,46774,49690,52119,52119,52270,52758
1656,"State Senator - District No.  5","Legislative District 5","State",6462,"Morgaine, J'aime","DEM",10471,15991,16255,17311,18150,18150,18193,18338
1656,"State Senator - District No.  5","Legislative District 5","Mohave",6462,"Morgaine, J'aime","DEM",10471,14683,14947,16003,16842,16842,16885,17030
1657,"State Senator - District No.  6","Legislative District 6","State",6730,"Allen, Sylvia Tenney","REP",32696,37236,43030,43735,44990,46525,47323,47638
1657,"State Senator - District No.  6","Legislative District 6","Coconino",6730,"Allen, Sylvia Tenney","REP",11367,13106,13106,13289,13289,14508,15306,15510
1657,"State Senator - District No.  6","Legislative District 6","Gila",6730,"Allen, Sylvia Tenney","REP",6612,7985,9138,9245,9463,9463,9463,9463
1657,"State Senator - District No.  6","Legislative District 6","Navajo",6730,"Allen, Sylvia Tenney","REP",4297,5437,7008,7008,7773,7810,7810,7810
1657,"State Senator - District No.  6","Legislative District 6","Yavapai",6730,"Allen, Sylvia Tenney","REP",10420,10708,13778,14193,14465,14744,14744,14855
1657,"State Senator - District No.  6","Legislative District 6","State",6961,"Carlisle, Wade","DEM",31882,35725,39329,40235,40883,43959,45133,45649
