"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1106_eb","r1106","r1108","r1109","r1110","r1111","r1112","r1113","r1114","r1115","r1116","r1117","r1119"
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6900,"Kirkpatrick, Ann","DEM",89520,109375,109375,119026,127985,127985,133978,133978,133978,139591,139591,142461,142461
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6677,"Marquez Peterson, Lea","REP",82104,109759,109759,117267,123247,123247,127035,127796,127796,131058,131058,133083,133083
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6677,"Marquez Peterson, Lea","REP",16455,23372,23372,25436,25436,25436,25436,26197,26197,26198,26198,26198,26198
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6677,"Marquez Peterson, Lea","REP",65649,86387,86387,91831,97811,97811,101599,101599,101599,104860,104860,106885,106885
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6836,"Grijalva, Raúl","DEM",56948,78308,82819,92120,99562,100726,104918,105346,106064,110826,111915,114028,114650
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6836,"Grijalva, Raúl","DEM",13963,20945,24230,25783,28671,29835,30550,30978,31690,32271,33088,34076,34698
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6836,"Grijalva, Raúl","DEM",29940,38563,38563,42940,47489,47489,50953,50953,50953,55131,55131,56256,56256
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pinal",6836,"Grijalva, Raúl","DEM",15,71,73,78,83,83,96,96,102,102,102,102,102
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Santa Cruz",6836,"Grijalva, Raúl","DEM",5281,7465,7465,9106,9106,9106,9106,9106,9106,9109,9109,9109,9109
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Yuma",6836,"Grijalva, Raúl","DEM",7749,11264,12488,14213,14213,14213,14213,14213,14213,14213,14485,14485,14485
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6519,"Pierson, Nicolas ""Nick""","REP",36556,49331,51873,55423,58574,59064,60529,60796,61267,62804,63464,64605,64868
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6519,"Pierson, Nicolas ""Nick""","REP",13185,17713,19662,20493,22227,22717,22954,23221,23691,24049,24568,25285,25548
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6519,"Pierson, Nicolas ""Nick""","REP",14931,19997,19997,21475,22892,22892,24120,24120,24120,25298,25298,25722,25722
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pinal",6519,"Pierson, Nicolas ""Nick""","REP",1,3,3,3,3,3,3,3,4,4,4,4,4
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Santa Cruz",6519,"Pierson, Nicolas ""Nick""","REP",2607,3662,3662,4313,4313,4313,4313,4313,4313,4314,4314,4314,4314
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Yuma",6519,"Pierson, Nicolas ""Nick""","REP",5832,7956,8549,9139,9139,9139,9139,9139,9139,9139,9280,9280,9280
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6220,"Brill, David","DEM",51757,67346,70934,75887,78576,80483,82268,82668,83780,84099,84295,84446,84521
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6220,"Brill, David","DEM",2618,2959,3393,3438,3510,3510,3510,3510,3510,3510,3510,3510,3510
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6220,"Brill, David","DEM",3781,4812,5360,5596,5967,6026,6130,6187,6289,6376,6471,6622,6697
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6220,"Brill, David","DEM",10407,14569,14833,15841,16650,16650,16695,16837,16873,16873,16873,16873,16873
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6220,"Brill, David","DEM",7788,11362,12655,14947,15780,16761,18397,18397,19371,19371,19371,19371,19371
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6220,"Brill, David","DEM",23204,27304,28048,29083,29687,30554,30554,30755,30755,30849,30849,30849,30849
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6220,"Brill, David","DEM",3959,5079,5384,5721,5721,5721,5721,5721,5721,5721,5822,5822,5822
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6435,"Gosar, Paul","REP",113728,156086,162972,172218,178112,181024,184182,185201,187214,187945,188354,188678,188842
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6435,"Gosar, Paul","REP",6820,8237,9452,9568,9793,9793,9793,9793,9793,9794,9794,9794,9794
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6435,"Gosar, Paul","REP",8321,10949,11958,12361,12975,13117,13399,13507,13765,13930,14151,14475,14639
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6435,"Gosar, Paul","REP",30097,45637,46398,49277,51714,51714,51860,52347,52491,52492,52492,52492,52492
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6435,"Gosar, Paul","REP",14328,21804,23883,27212,28544,30140,32870,32870,34481,34481,34481,34481,34481
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6435,"Gosar, Paul","REP",44556,54058,55286,57185,58471,59645,59645,60069,60069,60246,60246,60246,60246
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6435,"Gosar, Paul","REP",9606,12255,12849,13469,13469,13469,13469,13469,13469,13469,13657,13657,13657
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6876,"Knauer, Haryaksha Gregor","GRN",1929,2808,2992,3245,3371,3450,3539,3563,3629,3647,3657,3670,3672
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6876,"Knauer, Haryaksha Gregor","GRN",106,134,157,159,168,168,168,168,168,169,169,169,169
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6876,"Knauer, Haryaksha Gregor","GRN",115,159,192,195,207,208,209,213,221,226,230,243,245
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6876,"Knauer, Haryaksha Gregor","GRN",507,812,827,915,964,964,968,979,981,981,981,981,981
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6876,"Knauer, Haryaksha Gregor","GRN",273,423,483,571,603,649,733,733,789,789,789,789,789
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6876,"Knauer, Haryaksha Gregor","GRN",798,1031,1065,1124,1148,1180,1180,1189,1189,1194,1194,1194,1194
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6876,"Knauer, Haryaksha Gregor","GRN",130,180,199,212,212,212,212,212,212,212,218,218,218
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","State",6971,"Biggs, Andy","REP",93483,125782,141432,150732,160815,166186,168488,170741,173304,175372,178555,183658,186037
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","Maricopa",6971,"Biggs, Andy","REP",93483,125782,141432,150732,160815,166186,168488,170741,173304,175372,178555,183658,186037
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","State",6824,"Greene, Joan","DEM",62511,83894,96758,103943,110019,113297,115078,116584,118363,119905,122014,125403,127027
1688,"U.S. Representative in Congress - District No. 5","Congressional District 5","Maricopa",6824,"Greene, Joan","DEM",62511,83894,96758,103943,110019,113297,115078,116584,118363,119905,122014,125403,127027
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","State",7049,"Malik, Anita","DEM",72235,95105,108849,116452,123033,125933,127510,129141,131117,132943,135282,138920,140559
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","Maricopa",7049,"Malik, Anita","DEM",72235,95105,108849,116452,123033,125933,127510,129141,131117,132943,135282,138920,140559
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","State",6640,"Schweikert, David","REP",93322,122974,136813,145981,153202,156246,157996,159955,162397,164590,167093,171314,173140
1689,"U.S. Representative in Congress - District No. 6","Congressional District 6","Maricopa",6640,"Schweikert, David","REP",93322,122974,136813,145981,153202,156246,157996,159955,162397,164590,167093,171314,173140
